episode,reward,avg100_reward,deposited,mean_entropy,elapsed_sec,stay,north,east,south,west,random,home,prospect
203,1363.00,853.05,1093,1.901,90.9,0.126,0.126,0.146,0.033,0.113,0.311,0.093,0.053
204,949.00,859.58,945,1.949,91.5,0.154,0.128,0.125,0.051,0.083,0.285,0.094,0.080
205,739.00,859.65,645,1.968,91.8,0.175,0.151,0.124,0.092,0.104,0.235,0.084,0.036
206,1331.00,863.07,1177,1.929,92.2,0.141,0.132,0.141,0.102,0.093,0.229,0.107,0.054
207,1037.00,853.26,864,2.006,92.6,0.131,0.116,0.131,0.071,0.097,0.302,0.104,0.049
208,598.00,848.75,574,2.058,93.1,0.157,0.126,0.143,0.110,0.143,0.165,0.115,0.041
209,1247.00,846.21,1086,1.857,93.3,0.122,0.049,0.268,0.061,0.134,0.220,0.073,0.073
210,752.00,850.15,682,2.049,93.7,0.146,0.069,0.224,0.110,0.118,0.142,0.093,0.098
211,720.00,850.03,646,2.061,94.4,0.185,0.131,0.146,0.133,0.112,0.120,0.097,0.075
212,1178.00,856.10,1172,1.998,94.6,0.143,0.052,0.143,0.097,0.117,0.247,0.130,0.071
213,1610.00,863.37,1522,1.982,94.9,0.117,0.049,0.127,0.117,0.190,0.234,0.093,0.073
214,1278.00,867.66,1133,1.870,95.1,0.119,0.008,0.161,0.068,0.229,0.254,0.110,0.051
215,886.00,869.49,593,2.008,95.4,0.104,0.024,0.146,0.085,0.198,0.208,0.123,0.113
216,752.00,870.77,414,2.041,95.8,0.148,0.047,0.105,0.129,0.137,0.195,0.137,0.102
217,1131.00,869.72,1041,2.042,96.1,0.096,0.051,0.115,0.179,0.179,0.128,0.103,0.147
218,745.00,867.53,638,1.970,96.3,0.050,0.059,0.059,0.059,0.119,0.248,0.129,0.277
219,1829.00,881.32,1710,1.852,96.4,0.033,0.087,0.076,0.109,0.120,0.152,0.098,0.326
220,946.00,880.00,637,2.029,96.7,0.078,0.098,0.150,0.118,0.170,0.124,0.059,0.203
