episode,reward,avg100_reward,deposited,mean_entropy,elapsed_sec,stay,north,east,south,west,random,home
171,539.00,718.60,479,1.825,57.9,0.289,0.070,0.070,0.132,0.070,0.202,0.167
172,1088.00,720.34,555,1.790,58.1,0.273,0.072,0.108,0.137,0.094,0.165,0.151
173,627.00,725.04,582,1.855,58.5,0.278,0.135,0.076,0.097,0.101,0.118,0.194
174,1179.00,723.98,1134,1.460,58.7,0.556,0.062,0.025,0.111,0.049,0.062,0.136
175,1635.00,727.79,1529,1.477,58.8,0.357,0.095,0.000,0.226,0.060,0.155,0.107
176,600.00,725.05,577,1.816,59.1,0.303,0.085,0.043,0.197,0.048,0.154,0.170
177,532.00,724.78,515,1.894,59.5,0.188,0.100,0.069,0.161,0.107,0.230,0.146
178,463.00,724.73,325,1.854,59.9,0.155,0.067,0.062,0.197,0.104,0.233,0.181
179,863.00,731.05,511,1.816,60.1,0.095,0.067,0.057,0.324,0.133,0.143,0.181
180,445.00,730.76,397,1.937,60.6,0.142,0.157,0.107,0.174,0.171,0.146,0.103
181,846.00,734.84,688,1.852,60.9,0.203,0.080,0.128,0.171,0.107,0.198,0.112
182,471.00,730.08,426,1.897,61.2,0.130,0.079,0.085,0.226,0.068,0.266,0.147
183,24.00,721.62,101,1.914,61.5,0.136,0.108,0.153,0.165,0.091,0.227,0.119
184,801.00,724.43,577,1.863,61.6,0.160,0.074,0.138,0.170,0.096,0.266,0.096
185,123.00,717.01,195,1.920,62.3,0.132,0.168,0.120,0.147,0.120,0.216,0.096
186,463.00,715.57,512,1.911,63.4,0.168,0.135,0.146,0.162,0.088,0.171,0.130
187,552.00,716.37,551,1.911,64.0,0.230,0.128,0.107,0.130,0.085,0.203,0.117
188,732.00,718.06,694,1.838,64.4,0.174,0.112,0.087,0.152,0.091,0.257,0.127
189,962.00,723.43,862,1.508,64.5,0.215,0.114,0.051,0.405,0.000,0.152,0.063
190,756.00,715.12,544,1.845,64.7,0.131,0.180,0.115,0.213,0.008,0.238,0.115
191,1212.00,721.82,1152,1.834,64.9,0.149,0.169,0.097,0.156,0.091,0.227,0.110
192,804.00,726.83,373,1.784,65.2,0.206,0.122,0.116,0.079,0.048,0.302,0.127
193,1740.00,740.38,1242,1.552,65.3,0.256,0.244,0.013,0.013,0.013,0.244,0.218
194,575.00,741.52,505,1.491,65.5,0.364,0.258,0.045,0.000,0.015,0.182,0.136
195,339.00,741.82,374,1.850,66.0,0.221,0.218,0.086,0.061,0.086,0.184,0.144
196,620.00,744.58,617,1.414,66.1,0.247,0.173,0.037,0.000,0.025,0.037,0.481
197,293.00,740.31,293,1.223,66.2,0.321,0.132,0.000,0.000,0.019,0.019,0.509
198,210.00,735.04,185,1.708,66.4,0.233,0.227,0.073,0.007,0.053,0.127,0.280
199,419.00,729.68,284,1.833,66.8,0.281,0.141,0.076,0.036,0.129,0.157,0.181
200,819.00,729.49,810,1.837,67.0,0.185,0.185,0.101,0.042,0.143,0.126,0.218
201,421.00,722.79,451,1.893,67.6,0.134,0.188,0.081,0.072,0.137,0.200,0.188
202,528.00,704.90,354,1.778,67.9,0.348,0.121,0.076,0.083,0.106,0.129,0.136
203,865.00,690.67,800,1.852,68.4,0.214,0.159,0.066,0.061,0.162,0.176,0.162
204,801.00,680.72,711,1.771,68.6,0.325,0.149,0.045,0.084,0.078,0.169,0.149
205,735.00,670.78,672,1.685,68.8,0.405,0.095,0.048,0.131,0.060,0.119,0.143
206,806.00,668.81,740,1.896,69.5,0.173,0.193,0.077,0.086,0.116,0.210,0.145
207,1517.00,672.00,1296,1.732,69.7,0.225,0.287,0.039,0.078,0.062,0.155,0.155
208,417.00,666.10,419,1.834,69.9,0.255,0.139,0.055,0.097,0.085,0.273,0.097
209,1292.00,666.83,1098,1.373,70.0,0.532,0.048,0.000,0.048,0.016,0.306,0.048
210,228.00,662.04,299,1.895,70.4,0.183,0.154,0.126,0.081,0.146,0.191,0.118
211,1090.00,668.71,864,1.823,70.6,0.343,0.127,0.049,0.069,0.078,0.176,0.157
212,351.00,665.80,387,1.914,71.1,0.151,0.184,0.088,0.100,0.136,0.215,0.127
213,1322.00,667.03,1342,1.925,71.2,0.126,0.134,0.134,0.101,0.210,0.151,0.143
214,892.00,668.39,561,1.893,71.4,0.124,0.162,0.200,0.124,0.076,0.162,0.152
215,751.00,666.02,679,1.902,71.8,0.205,0.198,0.124,0.089,0.128,0.140,0.116
216,522.00,662.99,456,1.884,72.2,0.196,0.126,0.189,0.102,0.109,0.186,0.091
217,1213.00,672.47,713,1.803,72.4,0.281,0.167,0.198,0.104,0.042,0.146,0.062
218,540.00,658.61,436,1.876,72.8,0.189,0.185,0.126,0.107,0.085,0.226,0.081
219,802.00,659.23,704,1.892,73.4,0.206,0.166,0.109,0.093,0.111,0.200,0.116
220,779.00,662.47,680,1.875,73.9,0.251,0.151,0.080,0.068,0.104,0.192,0.154
221,370.00,654.73,235,1.751,74.2,0.324,0.122,0.074,0.059,0.138,0.090,0.191
222,389.00,654.16,320,1.894,74.5,0.254,0.124,0.070,0.075,0.129,0.219,0.129
223,512.00,654.59,479,1.890,74.8,0.179,0.168,0.087,0.087,0.185,0.133,0.162
224,489.00,654.23,482,1.897,75.4,0.206,0.137,0.078,0.125,0.113,0.157,0.184
225,481.00,648.22,446,1.900,75.8,0.165,0.098,0.074,0.165,0.133,0.154,0.211
226,702.00,651.59,683,1.767,76.0,0.070,0.096,0.105,0.105,0.053,0.211,0.360
227,753.00,658.74,708,1.575,76.1,0.028,0.083,0.069,0.056,0.111,0.222,0.431
228,476.00,658.62,369,1.927,76.6,0.116,0.154,0.098,0.147,0.168,0.172,0.144
229,503.00,660.34,482,1.898,77.0,0.108,0.130,0.119,0.119,0.177,0.177,0.170
230,917.00,667.19,873,1.911,79.3,0.113,0.116,0.145,0.205,0.118,0.156,0.147
231,945.00,668.75,1022,1.713,79.8,0.244,0.162,0.204,0.167,0.040,0.040,0.143
232,723.00,671.62,690,1.599,80.1,0.325,0.215,0.190,0.061,0.025,0.006,0.178
233,604.00,670.01,484,1.702,80.5,0.291,0.164,0.242,0.107,0.016,0.016,0.164
234,859.00,666.19,738,1.685,80.9,0.306,0.157,0.213,0.072,0.034,0.030,0.187
235,1310.00,677.36,1276,1.220,81.0,0.506,0.152,0.114,0.038,0.000,0.000,0.190
236,649.00,672.97,602,1.680,81.3,0.320,0.188,0.149,0.077,0.050,0.011,0.204
237,672.00,677.23,705,1.808,81.7,0.190,0.132,0.178,0.143,0.066,0.050,0.240
238,511.00,673.41,433,1.729,81.9,0.212,0.195,0.102,0.195,0.051,0.017,0.229
239,353.00,662.37,304,1.139,82.0,0.333,0.333,0.000,0.024,0.000,0.000,0.310
240,471.00,657.83,504,1.849,82.4,0.105,0.134,0.159,0.238,0.112,0.094,0.159
